title,price,negotiations,city,area,price_for_meter,link
"Działka budowlana Radom Dzierzków, ul. Odrodzenia",325 000 zł,,Radom,968 m²,335.74 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-radom-dzierzkow-ul-odrodzenia-ID4oON3.html
Działka w Bolimowskim Parku Krajobrazowym,577 000 zł,do negocjacji,Wycześniak,5 800 m²,99.48 zł/m²,https://www.olx.pl/d/oferta/dzialka-w-bolimowskim-parku-krajobrazowym-CID3-IDXZuIH.html
Sprzedam działkę budowlaną.,259 000 zł,do negocjacji,Świdnik Mały,2 864 m²,90.43 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-CID3-IDK6GpD.html
"Działka budowlana Grójec sprzedaż  , zamiana, udział",1 150 000 zł,do negocjacji,Grójec,506 m²,2272.73 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-grojec-sprzedaz-zamiana-udzial-CID3-IDLHKWW.html
Działki budowlane z korzystnym mikroklimatem,69 900 zł,,Ostrołęka,955 m²,73.19 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-budowlane-z-korzystnym-mikroklimatem-ID4oOLW.html
"Sprzedam działki w Winnicy, gmina Winnica, mazowieckie",169 000 zł,do negocjacji,Winnica,2 500 m²,67.6 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-w-winnicy-gmina-winnica-mazowieckie-CID3-IDVsw25.html
działka budowlana Radom ul. Wośnicka,850 000 zł,,Radom,2 070 m²,410.63 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-radom-ul-wosnicka-CID3-IDYl1DD.html
Działka Łosewo gm. Pokrzywnica,80 000 zł,,Łosewo,3 000 m²,26.67 zł/m²,https://www.olx.pl/d/oferta/dzialka-losewo-gm-pokrzywnica-CID3-IDXNRgm.html
"Uzbrojona  Działka Budowlana 1913m2, Dom",85 000 zł,do negocjacji,Głusiec,26 m²,3269.23 zł/m²,https://www.olx.pl/d/oferta/uzbrojona-dzialka-budowlana-1913m2-dom-CID3-IDSAYDG.html
Działki budowlane nad rzeką Narew,69 900 zł,,Ostrów Mazowiecka,955 m²,73.19 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-budowlane-nad-rzeka-narew-ID4oOLM.html
Działki budowlane nad Narwią!!,69 900 zł,,Wyszków,955 m²,73.19 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-budowlane-nad-narwia-ID4oOLH.html
Działki w sąsiedztwie terenów cennych przyrodniczo,69 900 zł,,Maków Mazowiecki,955 m²,73.19 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-w-sasiedztwie-terenow-cennych-przyrodniczo-ID4oOLj.html
Działki pod budowę w malowniczej okolicy - Narew,69 900 zł,,Pułtusk,955 m²,73.19 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-pod-budowe-w-malowniczej-okolicy-narew-ID4oOKP.html
Działka budowlana,990 000 zł,do negocjacji,Lipków,1 061 m²,933.08 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDYpphs.html
Sprzedam działkę,369 000 zł,do negocjacji,Nowy Dwór Mazowiecki,1 046 m²,352.77 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-CID3-IDV7Xur.html
Łódź ul.Kąkolowa dzialka pod budowe domu,210 000 zł,,"Łódź, Bałuty",880 m²,238.64 zł/m²,https://www.olx.pl/d/oferta/lodz-ul-kakolowa-dzialka-pod-budowe-domu-CID3-IDYgExq.html
Działki na sprzedaż 2x pow. 1002m2,110 000 zł,do negocjacji,Adamów,1 002 m²,109.78 zł/m²,https://www.olx.pl/d/oferta/dzialki-na-sprzedaz-2x-pow-1002m2-CID3-IDYpp83.html
Polecam! Do sprzedania bardzo atrakcyjne 2 działki,550 000 zł,,Łazy,1 000 m²,550 zł/m²,https://www.otodom.pl/pl/oferta/polecam-do-sprzedania-bardzo-atrakcyjne-2-dzialki-ID4mrDx.html
"Zielonka, idealna pod segmenty",1 850 000 zł,,Zielonka,1 700 m²,1088.24 zł/m²,https://www.otodom.pl/pl/oferta/zielonka-idealna-pod-segmenty-ID4m60z.html
Działka budowlana Mańkowo k. Płocka przy drodze głównej,185 000 zł,do negocjacji,Mańkowo,1 828 m²,101.2 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-mankowo-k-plocka-przy-drodze-glownej-CID3-IDVLyXp.html
Sprzedam działki budowlane,200 000 zł,,Ostrówek,1 000 m²,200 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-budowlane-CID3-IDYk0MJ.html
Sprzedam działki Wólka Grodziska od 1500m2 do 4000m2,240 000 zł,,Wólka Grodziska,1 500 m²,160 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-wolka-grodziska-od-1500m2-do-4000m2-CID3-IDW3G02.html
Działki w bezpośrednim sąsiedztwie rzeki Narew,69 900 zł,,Różan,955 m²,73.19 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-w-bezposrednim-sasiedztwie-rzeki-narew-ID4oOJr.html
"Działki-zaplecze usługowo-handlowe, Narew",69 900 zł,,Brzóze Małe,955 m²,73.19 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-zaplecze-uslugowo-handlowe-narew-ID4oOIx.html
Działka budowlana(zagrodowa) 3300 m2,85 000 zł,do negocjacji,Abramów,3 300 m²,25.76 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlanazagrodowa-3300-m2-CID3-IDLbAPR.html
Łódź wycieczkowa Bałuty warunki zabudowy 3000m2,1 200 000 zł,,"Łódź, Bałuty",3 000 m²,400 zł/m²,https://www.otodom.pl/pl/oferta/lodz-wycieczkowa-baluty-warunki-zabudowy-3000m2-ID4o4Le.html
Działka na skraju Tuszyńskiego lasu,279 000 zł,,Tuszyn,2 025 m²,137.78 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-na-skraju-tuszynskiego-lasu-ID4bHO1.html
Kompleks działek budowlanych z prywatną plażą,54 900 zł,,Chrzczanka Folwark,573 m²,95.81 zł/m²,https://www.otodom.pl/pl/oferta/kompleks-dzialek-budowlanych-z-prywatna-plaza-ID4oOG4.html
Działka budowlana,170 000 zł,do negocjacji,Wyrzyki,2 500 m²,68 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDWHJoK.html
Działka budowlana w Rajcu Poduchownym,175 000 zł,do negocjacji,Radom,1 004 m²,174.3 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-w-rajcu-poduchownym-CID3-IDYjrMr.html
Działka budowlana w zalesionej i spokojnej okolicy,85 000 zł,,Nowy Dwór Mazowiecki,2 269 m²,37.46 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-zalesionej-i-spokojnej-okolicy-ID4oOFw.html
Działka rolno-budowlana - 2800 m kw - Rżyska,330 000 zł,do negocjacji,Rżyska,2 900 m²,113.79 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-2800-m-kw-rzyska-CID3-IDVewyl.html
Działki na sprzedaż 2x pow. 1002m2,110 000 zł,do negocjacji,Adamów,1 002 m²,109.78 zł/m²,https://www.olx.pl/d/oferta/dzialki-na-sprzedaz-2x-pow-1002m2-CID3-IDYpp83.html
Duża działka budowlana ze stawem Łagiewniki pogranicze Zgierz / Łódź,540 000 zł,do negocjacji,Nowe Łagiewniki,2 947 m²,183.24 zł/m²,https://www.olx.pl/d/oferta/duza-dzialka-budowlana-ze-stawem-lagiewniki-pogranicze-zgierz-lodz-CID3-IDXd5oG.html
Działki budowlane przy ścianie lasu - DRUGI ETAP,114 900 zł,,Augustówka,522 m²,220.11 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-budowlane-przy-scianie-lasu-drugi-etap-ID4oOFj.html
Atrakcyjna działka budowlana Kroczów Większy 1050 m,55 000 zł,do negocjacji,Kroczów Większy,1 500 m²,36.67 zł/m²,https://www.olx.pl/d/oferta/atrakcyjna-dzialka-budowlana-kroczow-wiekszy-1050-m-CID3-IDWtHaq.html
Działka Klęk rolno-budowlana budowa siedliska,525 000 zł,,Klęk,4 285 m²,122.52 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-klek-rolno-budowlana-budowa-siedliska-ID4m3rr.html
"sprzedam działki, Mazowieckie",50 000 zł,,Sulkowo,1 000 m²,50 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-mazowieckie-CID3-IDS5m5w.html
Dziłka budowlana 1000 - 3000 m2 / Leszczydół- Nowiny,487 900 zł,do negocjacji,Leszczydół-Nowiny,2 870 m²,170 zł/m²,https://www.olx.pl/d/oferta/dzilka-budowlana-1000-3000-m2-leszczydol-nowiny-CID3-IDXKmPG.html
Sprzedam działkę rolno-budowlaną,125 000 zł,do negocjacji,Bednary,8 000 m²,15.63 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-rolno-budowlana-CID3-IDSXlrs.html
Sprzedam działkę budowlaną w Duchnicach,790 000 zł,do negocjacji,Duchnice,750 m²,1053.33 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-w-duchnicach-CID3-IDYaMWf.html
Piękna działka przy parku krajobrazowym,550 000 zł,,"Łódź, Widzew",2 738 m²,200.88 zł/m²,https://www.otodom.pl/pl/oferta/piekna-dzialka-przy-parku-krajobrazowym-ID4oe5q.html
Łódź Ruda Pabianicka ul. Konna 6 działka inwestycyjna 1198m2.,699 900 zł,do negocjacji,Żdżary,1 198 m²,584.22 zł/m²,https://www.olx.pl/d/oferta/lodz-ruda-pabianicka-ul-konna-6-dzialka-inwestycyjna-1198m2-CID3-IDT9qq7.html
Atrakcyjna działka w Słupnie.,400 000 zł,,Słupno,1 181 m²,338.7 zł/m²,https://www.otodom.pl/pl/oferta/atrakcyjna-dzialka-w-slupnie-ID4m1qB.html
Sprzedam działkę 1200m2/miejscowość Łosewo/gmina Pokrzywnica/Pułtusk,76 500 zł,,Łosewo,1 182 m²,64.72 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-1200m2-miejscowosc-losewo-gmina-pokrzywnica-pultusk-CID3-IDWziT9.html
Działka budowlana,190 000 zł,do negocjacji,Purzec,1 050 m²,180.95 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDWUeGM.html
Działka budowlana,340 000 zł,do negocjacji,Krubin,1 639 m²,207.44 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDYo31g.html
Działka na nowym osiedlu - Kałduny,169 000 zł,,Kałduny,1 546 m²,109.31 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-na-nowym-osiedlu-kalduny-ID4nWRy.html
Sprzedam działkę,420 000 zł,do negocjacji,Przęsławice,7 300 m²,57.53 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-CID3-IDYoYUl.html
Działka rolno - budowlana Gorzew,218 000 zł,do negocjacji,Gorzew,2 995 m²,72.79 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-gorzew-CID3-IDQcos3.html
Działka pod Siedlcami (Białki),1 200 000 zł,do negocjacji,Białki,5 597 m²,214.4 zł/m²,https://www.olx.pl/d/oferta/dzialka-pod-siedlcami-bialki-CID3-IDVSNdf.html
Działka rolno-budowlana,75 000 zł,,Jeruzale,2 400 m²,31.25 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-CID3-IDUgpUv.html
Sprzedam działkę 1800m^2 w Soltykowanie,396 000 zł,,Sołtyków,1 800 m²,220 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-1800m2-w-soltykowanie-CID3-IDXYawp.html
Działka budowlana ponad 9 ar,120 000 zł,do negocjacji,Rypin,1 000 m²,120 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-ponad-9-ar-CID3-IDXtoFO.html
Sprzedam działkę budowlaną w Siedlcach,380 000 zł,,Siedlce,724 m²,524.86 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-w-siedlcach-CID3-IDYpgWe.html
"Działka Rekreacja, możliwa zab. mieszk 1526 m2 Woda miejska OKAZJA",38 000 zł,,Puszcza Rządowa,1 526 m²,24.9 zł/m²,https://www.olx.pl/d/oferta/dzialka-rekreacja-mozliwa-zab-mieszk-1526-m2-woda-miejska-okazja-CID3-IDXsB2K.html
Działka rolno-budowlana,150 000 zł,do negocjacji,Ostrówek-Kolonia,5 805 m²,25.84 zł/m²,https://www.olx.pl/d/oferta/dzialka-rolno-budowlana-CID3-IDWZ5ve.html
Działka w Bolimowskim Parku Krajobrazowym,577 000 zł,do negocjacji,Wycześniak,5 800 m²,99.48 zł/m²,https://www.olx.pl/d/oferta/dzialka-w-bolimowskim-parku-krajobrazowym-CID3-IDXZuIH.html
Sprzedam działkę w  Mszczonowie,1 040 200 zł,,Mszczonów,2 972 m²,350 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-w-mszczonowie-CID3-IDYqwZa.html
Działka 2499m2 za 99 000zł warunki zabudowy,99 000 zł,,Grabszczyzna,2 429 m²,40.76 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-2499m2-za-99-000zl-warunki-zabudowy-ID4itvz.html
Działka budowlana Antoniówka gm.Kleszczów,60 000 zł,do negocjacji,Bełchatów,14 690 m²,4.08 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-antoniowka-gm-kleszczow-CID3-IDF7mmY.html
Działka Budowlana Korytków Warunki Zabudowy Projekt Domu,70 000 zł,,Korytków,1 400 m²,50 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-korytkow-warunki-zabudowy-projekt-domu-CID3-IDS6pGp.html
Działki Łosewo gm. Pokrzywnica,28 000 zł,,Łosewo,1 000 m²,28 zł/m²,https://www.olx.pl/d/oferta/dzialki-losewo-gm-pokrzywnica-CID3-IDXZmfx.html
Sprzedam działkę budowlaną w Izbicy,360 000 zł,,Izbica,3 000 m²,120 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-w-izbicy-CID3-IDUGZHa.html
Działķa z lasem przepiękna i unikalna z 3 stron las,300 000 zł,do negocjacji,Wola Krzysztoporska,7 752 m²,38.7 zł/m²,https://www.olx.pl/d/oferta/dziala-z-lasem-przepiekna-i-unikalna-z-3-stron-las-CID3-IDYircq.html
Działka budowlana Wieliszew 800m2,324 000 zł,,Wieliszew,800 m²,405 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-wieliszew-800m2-CID3-IDYpd7V.html
Działka na sprzedaż 1200m2,95 000 zł,do negocjacji,Bełchatów,1 200 m²,79.17 zł/m²,https://www.olx.pl/d/oferta/dzialka-na-sprzedaz-1200m2-CID3-IDOk3l6.html
Ładna działka budowlana w Skępem,46 900 zł,do negocjacji,Skępe,866 m²,54.16 zł/m²,https://www.olx.pl/d/oferta/ladna-dzialka-budowlana-w-skepem-CID3-IDWSZQl.html
"Działka budowlana, Przytoka, powiat miński. Warunki zabudowy, media",100 000 zł,do negocjacji,Przytoka,1 000 m²,100 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-przytoka-powiat-minski-warunki-zabudowy-media-CID3-IDQhFT8.html
Działka budowlana,100 000 zł,,Zawady,736 m²,135.87 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDYpbFR.html
Sprzedam działki budowlane w Kutnie,370 000 zł,do negocjacji,Kutno,1 474 m²,251.02 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-budowlane-w-kutnie-CID3-IDV7HCI.html
Sprzedam działkę rolno-budowlaną,125 000 zł,do negocjacji,Bednary,8 000 m²,15.63 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-rolno-budowlana-CID3-IDSXlrs.html
Działka budowlana Ustanów 1191m2,273 930 zł,,Ustanów,1 191 m²,230 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-ustanow-1191m2-CID3-IDYpRqW.html
Działka budowlana wieś Gorzędów łódzkie,60 300 zł,do negocjacji,Gorzędów,1 826 m²,33.02 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-wies-gorzedow-lodzkie-CID3-IDYpamk.html
Działki budowlane w Radzyniu Podlaskim,165 000 zł,,Radzyń Podlaski,1 825 m²,90.41 zł/m²,https://www.otodom.pl/pl/oferta/dzialki-budowlane-w-radzyniu-podlaskim-ID4kei0.html
Działka z dostępem do rzeki 2299m2 - Cisie Halinów,390 000 zł,,Cisie,2 299 m²,169.64 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-z-dostepem-do-rzeki-2299m2-cisie-halinow-ID4oOtk.html
Działka budowlana Strzegocin 7km od Kutna,129 000 zł,do negocjacji,Strzegocin,1 800 m²,71.67 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-strzegocin-7km-od-kutna-CID3-IDWa9eg.html
Działka rolno-budowlana Parznice k. Radomia,660 000 zł,,Parznice,28 000 m²,23.57 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-rolno-budowlana-parznice-k-radomia-ID4omtl.html
Działka budowlana w Błędowie,160 000 zł,do negocjacji,Błędowo,1 200 m²,133.33 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-w-bledowie-CID3-IDFFCWk.html
"ul. Wiśniowa 2636m, działka budowlana ATRAKCYJNA CENA",449 000 zł,do negocjacji,Ostrów Mazowiecka,2 636 m²,170.33 zł/m²,https://www.olx.pl/d/oferta/ul-wisniowa-2636m-dzialka-budowlana-atrakcyjna-cena-CID3-IDRkssS.html
BEZPOŚREDNIO! Działka budowlana 805m2 Osiedle DOMÓW JEDNORODZINYCH,99 000 zł,do negocjacji,Suchodół,805 m²,122.98 zł/m²,https://www.olx.pl/d/oferta/bezposrednio-dzialka-budowlana-805m2-osiedle-domow-jednorodzinych-CID3-IDMVYTq.html
sprzedam działkę udział 110m2 (1/6),129 900 zł,do negocjacji,"Warszawa, Bemowo",110 m²,1180.91 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-udzial-110m2-1-6-CID3-IDYoaWL.html
Sprzedam działkę budowlaną w Ryczywole,79 000 zł,,Ryczywół,470 m²,168.09 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-w-ryczywole-CID3-IDUhTBh.html
Sprzedam działkę budowlana - 4 km od Mławy,142 000 zł,,Mława,1 478 m²,96.08 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-4-km-od-mlawy-CID3-IDYnpD7.html
Działka budowlana(zagrodowa) 3300 m2,85 000 zł,do negocjacji,Abramów,3 300 m²,25.76 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlanazagrodowa-3300-m2-CID3-IDLbAPR.html
Radziwiłłów działka budowlana,140 000 zł,,Radziwiłłów,1 534 m²,91.26 zł/m²,https://www.olx.pl/d/oferta/radziwillow-dzialka-budowlana-CID3-IDRlEMS.html
Nowa Gdynia las cisza spokój wszystkie media,299 000 zł,,"Łódź, Bałuty",1 000 m²,299 zł/m²,https://www.otodom.pl/pl/oferta/nowa-gdynia-las-cisza-spokoj-wszystkie-media-ID4j5ns.html
Sprzedam działki budowlane,130 000 zł,,Józefów,1 850 m²,70.27 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-budowlane-CID3-IDX99Yt.html
"Działka, Marki",840 000 zł,,Marki,1 200 m²,700 zł/m²,https://www.otodom.pl/pl/oferta/-ID4muzP.html
"Działka, Sieraków",240 000 zł,,Sieraków,1 150 m²,208.7 zł/m²,https://www.otodom.pl/pl/oferta/-ID4muCx.html
Działka budowlana Łazy / Kampinos w. mazowieckie,276 450 zł,,Kampinos,2 850 m²,97 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-lazy-kampinos-w-mazowieckie-CID3-IDYp4wb.html
Działka budowlana 1500m2 WZ,120 000 zł,,Sokóle,1 490 m²,80.54 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1500m2-wz-CID3-IDYp3V9.html
Działka 3000 m2 z domem jednorodzinnym w miejscowości Sporniak,480 000 zł,do negocjacji,Sporniak,3 000 m²,160 zł/m²,https://www.olx.pl/d/oferta/dzialka-3000-m2-z-domem-jednorodzinnym-w-miejscowosci-sporniak-CID3-IDYp3sS.html
Działka w pobliżu Wilgi. Uśniaki to polana wśród sosnowych lasów.,70 000 zł,,Uśniaki,1 000 m²,70 zł/m²,https://www.olx.pl/d/oferta/dzialka-w-poblizu-wilgi-usniaki-to-polana-wsrod-sosnowych-lasow-CID3-IDYp3S6.html
Działka ogrodzona wszystkie media blisko Łódzi,558 000 zł,,"Łódź, Polesie",2 233 m²,249.89 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-ogrodzona-wszystkie-media-blisko-lodzi-ID4oOol.html
Granica Konstantynowa i Łodzi Super Lokalizacja,558 000 zł,,Konstantynów Łódzki,2 233 m²,249.89 zł/m²,https://www.otodom.pl/pl/oferta/granica-konstantynowa-i-lodzi-super-lokalizacja-ID4oOoc.html
Sprzedam działki  Warka,143 500 zł,,Stara Warka,735 m²,195.24 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialki-warka-CID3-IDYfDoz.html
"Spełnienie marzeń! Jezioro, las i drzewa na działce!",130 000 zł,,Huta,1 992 m²,65.26 zł/m²,https://www.olx.pl/d/oferta/spelnienie-marzen-jezioro-las-i-drzewa-na-dzialce-CID3-IDWyrlk.html
Działka - Radom (Godów) ul.Drzymały -pozwolenie na budowę plus projekt,230 516 zł,,Radom,806 m²,286 zł/m²,https://www.olx.pl/d/oferta/dzialka-radom-godow-ul-drzymaly-pozwolenie-na-budowe-plus-projekt-CID3-IDVWkTA.html
Dzialka budowlana 900m2 Konie Powiat Grójecki gm.Pniewy MPZP Media,115 000 zł,do negocjacji,Konie,900 m²,127.78 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-900m2-konie-powiat-grojecki-gm-pniewy-mpzp-media-CID3-IDYn4FY.html
Działka budowlana Skuszew,180 500 zł,do negocjacji,Skuszew,950 m²,190 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-skuszew-CID3-IDYp1Pu.html
Działka budowlana,165 000 zł,do negocjacji,Łomża,1 594 m²,103.51 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-CID3-IDY7XI2.html
Działka na Rosanowie [bez pośredników],330 000 zł,,Rosanów,2 905 m²,113.6 zł/m²,https://www.olx.pl/d/oferta/dzialka-na-rosanowie-bez-posrednikow-CID3-IDYaEut.html
Działka budowlana ul. Radosna Stara wieś,610 000 zł,,Stara Wieś,1 300 m²,469.23 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-ul-radosna-stara-wies-CID3-IDYp14I.html
"Działka budowlana 1500m2, spokojna okolica Kowala/Puławy",160 000 zł,,Kowala,1 500 m²,106.67 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-1500m2-spokojna-okolica-kowala-pulawy-CID3-IDYoKwr.html
Lipienice Dolne k. Szydłowca działki budowlane 1081 m2 i 1051 m2,45 000 zł,,Wola Lipieniecka Duża,1 051 m²,42.82 zł/m²,https://www.olx.pl/d/oferta/lipienice-dolne-k-szydlowca-dzialki-budowlane-1081-m2-i-1051-m2-CID3-IDTUcMF.html
Sprzedam działkę koło Skierniewic,160 000 zł,,Słomków,6 200 m²,25.81 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-kolo-skierniewic-CID3-IDFs3cH.html
Działka budowlana 519m2  Grudze Nowe woj. łódzkie,180 000 zł,do negocjacji,Nowe Grudze,519 m²,346.82 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-519m2-grudze-nowe-woj-lodzkie-CID3-IDYp0Fz.html
"Działka Żabia Wola,Słubica Wieś 1000 m2. pod zabudowę jednorodzinną.",220 000 zł,do negocjacji,Słubica-Wieś,1 000 m²,220 zł/m²,https://www.olx.pl/d/oferta/dzialka-zabia-wola-slubica-wies-1000-m2-pod-zabudowe-jednorodzinna-CID3-IDYlrf3.html
Przepiękna działka budowlana 1141m2 w Pęcicach (granica z Pruszkowem),750 000 zł,,Pęcice,1 142 m²,656.74 zł/m²,https://www.olx.pl/d/oferta/przepiekna-dzialka-budowlana-1141m2-w-pecicach-granica-z-pruszkowem-CID3-IDSzx9J.html
"Działka Żabia Wola,Słubica Wieś 1000 m2. pod zabudowę jednorodzinną.",220 000 zł,do negocjacji,Słubica-Wieś,1 000 m²,220 zł/m²,https://www.olx.pl/d/oferta/dzialka-zabia-wola-slubica-wies-1000-m2-pod-zabudowe-jednorodzinna-CID3-IDYlrf3.html
Pabianice działka budowlana 900 m2,225 000 zł,do negocjacji,Pabianice,900 m²,250 zł/m²,https://www.olx.pl/d/oferta/pabianice-dzialka-budowlana-900-m2-CID3-IDWyfP8.html
"Działka 1168 m2, Majdan, pow. Wołomiński",290 000 zł,,Majdan,1 168 m²,248.29 zł/m²,https://www.olx.pl/d/oferta/dzialka-1168-m2-majdan-pow-wolominski-CID3-IDYjce6.html
Działka budowlana 1200m2 Janówka,270 000 zł,,Janówka,1 200 m²,225 zł/m²,https://www.otodom.pl/pl/oferta/dzialka-budowlana-1200m2-janowka-ID4nc9a.html
"Błonie - Rochaliki, działki budowlane bezpośrednio",200 000 zł,,Rochaliki,1 000 m²,200 zł/m²,https://www.olx.pl/d/oferta/blonie-rochaliki-dzialki-budowlane-bezposrednio-CID3-IDt945L.html
Działki budowlane w Parku Krajobrazowym Wzniesień Łódzkich 1536–3140m2,276 480 zł,,Byszewy,1 536 m²,180 zł/m²,https://www.olx.pl/d/oferta/dzialki-budowlane-w-parku-krajobrazowym-wzniesien-lodzkich-15363140m2-CID3-IDJrjd9.html
Działka budowlana 3369m2,570 000 zł,,Wólka Radzymińska,3 369 m²,169.19 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-3369m2-CID3-IDVte0e.html
Działka budowlana w Mariewie (ul. Kwiatowa) blisko Kampinosu,585 000 zł,do negocjacji,Mariew,1 300 m²,450 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-w-mariewie-ul-kwiatowa-blisko-kampinosu-CID3-IDYghgA.html
Warszawa Marki Słupno Radzymin działki 1000m² trasa S8 dobryPUNKT,420 000 zł,do negocjacji,"Warszawa, Targówek",1 000 m²,420 zł/m²,https://www.olx.pl/d/oferta/warszawa-marki-slupno-radzymin-dzialki-1000m-trasa-s8-dobrypunkt-CID3-IDMqUoe.html
Działki budowlane Drgicz gm. Stoczek WZ media,140 000 zł,do negocjacji,Drgicz,2 500 m²,56 zł/m²,https://www.olx.pl/d/oferta/dzialki-budowlane-drgicz-gm-stoczek-wz-media-CID3-IDVizh4.html
Działka budowlana Dobrosławów 15 arów,225 000 zł,,Dobrosławów,1 500 m²,150 zł/m²,https://www.olx.pl/d/oferta/dzialka-budowlana-dobroslawow-15-arow-CID3-IDWvxbg.html
"Działka 1000m2, Majdan, pow. Wołomiński",255 000 zł,do negocjacji,Majdan,1 023 m²,249.27 zł/m²,https://www.olx.pl/d/oferta/dzialka-1000m2-majdan-pow-wolominski-CID3-IDYj9UL.html
Sprzedam działkę budowlaną.,259 000 zł,do negocjacji,Świdnik Mały,2 864 m²,90.43 zł/m²,https://www.olx.pl/d/oferta/sprzedam-dzialke-budowlana-CID3-IDK6GpD.html
Super działka budowlana otoczona lasem 2600m2. Cena do końca roku,156 000 zł,,Brzozówka,2 650 m²,58.87 zł/m²,https://www.olx.pl/d/oferta/super-dzialka-budowlana-otoczona-lasem-2600m2-cena-do-konca-roku-CID3-IDLKvt3.html
"działka z warunkami zabudowy, 500 m do Jeziora Urszulewskiego",69 000 zł,,Baba,958 m²,72.03 zł/m²,https://www.olx.pl/d/oferta/dzialka-z-warunkami-zabudowy-500-m-do-jeziora-urszulewskiego-CID3-IDY6HMX.html
